Year,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2023,Joel Embiid,28,PHI,73,915,1000,0.915,66,34.6,33.1,10.2,4.2,1.0,1.7,.548,.330,.857,12.3,.259
2023,Nikola Jokić,27,DEN,15,674,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,.632,.383,.822,14.9,.308
2023,Giannis Antetokounmpo,28,MIL,12,606,1000,0.606,63,32.1,31.1,11.8,5.7,0.8,0.8,.553,.275,.645,8.6,.204
2023,Jayson Tatum,24,BOS,0,280,1000,0.280,74,36.9,30.1,8.8,4.6,1.1,0.7,.466,.350,.854,10.5,.185
2023,Shai Gilgeous-Alexander,24,OKC,0,46,1000,0.046,68,35.5,31.4,4.8,5.5,1.6,1.0,.510,.345,.905,11.4,.226
2023,Donovan Mitchell,26,CLE,0,30,1000,0.030,68,35.8,28.3,4.3,4.4,1.5,0.4,.484,.386,.867,8.9,.176
2023,Domantas Sabonis,26,SAC,0,27,1000,0.027,79,34.6,19.1,12.3,7.3,0.8,0.5,.615,.373,.742,12.6,.221
2023,Luka Dončić,23,DAL,0,10,1000,0.010,66,36.2,32.4,8.6,8.0,1.4,0.5,.496,.342,.742,10.2,.204
2023,Stephen Curry,34,GSW,0,5,1000,0.005,56,34.7,29.4,6.1,6.3,0.9,0.4,.493,.427,.915,7.8,.192
2023,Jimmy Butler,33,MIA,0,3,1000,0.003,64,33.4,22.9,5.9,5.3,1.8,0.3,.539,.350,.850,12.3,.277
2023,De'Aaron Fox,25,SAC,0,2,1000,0.002,73,33.4,25.0,4.2,6.1,1.1,0.3,.512,.324,.780,7.4,.146
2023,Jalen Brunson,26,NYK,0,1,1000,0.001,68,35.0,24.0,3.5,6.2,0.9,0.2,.491,.416,.829,8.7,.175
2023,Ja Morant,23,MEM,0,1,1000,0.001,61,31.9,26.2,5.9,8.1,1.1,0.3,.466,.307,.748,6.0,.148
2024,Nikola Jokić,28,DEN,79,926,990,0.935,79,34.6,26.4,12.4,9.0,1.4,0.9,.583,.359,.817,17.0,.299
2024,Shai Gilgeous-Alexander,25,OKC,15,640,990,0.646,75,34.0,30.1,5.5,6.2,2.0,0.9,.535,.353,.874,14.6,.275
2024,Luka Dončić,24,DAL,4,566,990,0.572,70,37.5,33.9,9.2,9.8,1.4,0.5,.487,.382,.786,12.0,.220
2024,Giannis Antetokounmpo,29,MIL,1,192,990,0.194,73,35.2,30.4,11.5,6.5,1.2,1.1,.611,.274,.657,13.2,.246
2024,Jalen Brunson,27,NYK,0,142,990,0.143,77,35.4,28.7,3.6,6.7,0.9,0.2,.479,.401,.847,11.2,.198
2024,Jayson Tatum,25,BOS,0,86,990,0.087,74,35.7,26.9,8.1,4.9,1.0,0.6,.471,.376,.833,10.4,.189
2024,Anthony Edwards,22,MIN,0,18,990,0.018,79,35.1,25.9,5.4,5.1,1.3,0.5,.461,.357,.836,7.5,.130
2024,Domantas Sabonis,27,SAC,0,3,990,0.003,82,35.7,19.4,13.7,8.2,0.9,0.6,.594,.379,.704,12.6,.206
2024,Kevin Durant,35,PHO,0,1,990,0.001,75,37.2,27.1,6.6,5.0,0.9,1.2,.523,.413,.856,8.3,.142
